Município;Município Maiúsculas;CD_GEOCODM
Adamantina;ADAMANTINA;3500105
Adolfo;ADOLFO;3500204
Aguaí;AGUAÍ;3500303
Águas da Prata;ÁGUAS DA PRATA;3500402
Águas de Lindóia;ÁGUAS DE LINDÓIA;3500501
Águas de Santa Bárbara;ÁGUAS DE SANTA BÁRBARA;3500550
Águas de São Pedro;ÁGUAS DE SÃO PEDRO;3500600
Agudos;AGUDOS;3500709
Alambari;ALAMBARI;3500758
Alfredo Marcondes;ALFREDO MARCONDES;3500808
Altair;ALTAIR;3500907
Altinópolis;ALTINÓPOLIS;3501004
Alto Alegre;ALTO ALEGRE;3501103
Alumínio;ALUMÍNIO;3501152
Álvares Florence;ÁLVARES FLORENCE;3501202
Álvares Machado;ÁLVARES MACHADO;3501301
Álvaro de Carvalho;ÁLVARO DE CARVALHO;3501400
Alvinlândia;ALVINLÂNDIA;3501509
Americana;AMERICANA;3501608
Américo Brasiliense;AMÉRICO BRASILIENSE;3501707
Américo de Campos;AMÉRICO DE CAMPOS;3501806
Amparo;AMPARO;3501905
Analândia;ANALÂNDIA;3502002
Andradina;ANDRADINA;3502101
Angatuba;ANGATUBA;3502200
Anhembi;ANHEMBI;3502309
Anhumas;ANHUMAS;3502408
Aparecida;APARECIDA;3502507
Aparecida D'Oeste;APARECIDA D'OESTE;3502606
Apiaí;APIAÍ;3502705
Araçariguama;ARAÇARIGUAMA;3502754
Araçatuba;ARAÇATUBA;3502804
Araçoiaba da Serra;ARAÇOIABA DA SERRA;3502903
Aramina;ARAMINA;3503000
Arandu;ARANDU;3503109
Arapeí;ARAPEÍ;3503158
Araraquara;ARARAQUARA;3503208
Araras;ARARAS;3503307
Arco-Íris;ARCO-ÍRIS;3503356
Arealva;AREALVA;3503406
Areias;AREIAS;3503505
Areiópolis;AREIÓPOLIS;3503604
Ariranha;ARIRANHA;3503703
Artur Nogueira;ARTUR NOGUEIRA;3503802
Arujá;ARUJÁ;3503901
Aspásia;ASPÁSIA;3503950
Assis;ASSIS;3504008
Atibaia;ATIBAIA;3504107
Auriflama;AURIFLAMA;3504206
Avaí;AVAÍ;3504305
Avanhandava;AVANHANDAVA;3504404
Avaré;AVARÉ;3504503
Bady Bassitt;BADY BASSITT;3504602
Balbinos;BALBINOS;3504701
Bálsamo;BÁLSAMO;3504800
Bananal;BANANAL;3504909
Barão de Antonina;BARÃO DE ANTONINA;3505005
Barbosa;BARBOSA;3505104
Bariri;BARIRI;3505203
Barra Bonita;BARRA BONITA;3505302
Barra do Chapéu;BARRA DO CHAPÉU;3505351
Barra do Turvo;BARRA DO TURVO;3505401
Barretos;BARRETOS;3505500
Barrinha;BARRINHA;3505609
Barueri;BARUERI;3505708
Bastos;BASTOS;3505807
Batatais;BATATAIS;3505906
Bauru;BAURU;3506003
Bebedouro;BEBEDOURO;3506102
Bento de Abreu;BENTO DE ABREU;3506201
Bernardino de Campos;BERNARDINO DE CAMPOS;3506300
Bertioga;BERTIOGA;3506359
Bilac;BILAC;3506409
Birigui;BIRIGUI;3506508
Biritiba-Mirim;BIRITIBA-MIRIM;3506607
Boa Esperança do Sul;BOA ESPERANÇA DO SUL;3506706
Bocaina;BOCAINA;3506805
Bofete;BOFETE;3506904
Boituva;BOITUVA;3507001
Bom Jesus dos Perdões;BOM JESUS DOS PERDÕES;3507100
Bom Sucesso de Itararé;BOM SUCESSO DE ITARARÉ;3507159
Borá;BORÁ;3507209
Boracéia;BORACÉIA;3507308
Borborema;BORBOREMA;3507407
Borebi;BOREBI;3507456
Botucatu;BOTUCATU;3507506
Bragança Paulista;BRAGANÇA PAULISTA;3507605
Braúna;BRAÚNA;3507704
Brejo Alegre;BREJO ALEGRE;3507753
Brodowski;BRODOWSKI;3507803
Brotas;BROTAS;3507902
Buri;BURI;3508009
Buritama;BURITAMA;3508108
Buritizal;BURITIZAL;3508207
Cabrália Paulista;CABRÁLIA PAULISTA;3508306
Cabreúva;CABREÚVA;3508405
Caçapava;CAÇAPAVA;3508504
Cachoeira Paulista;CACHOEIRA PAULISTA;3508603
Caconde;CACONDE;3508702
Cafelândia;CAFELÂNDIA;3508801
Caiabu;CAIABU;3508900
Caieiras;CAIEIRAS;3509007
Caiuá;CAIUÁ;3509106
Cajamar;CAJAMAR;3509205
Cajati;CAJATI;3509254
Cajobi;CAJOBI;3509304
Cajuru;CAJURU;3509403
Campina do Monte Alegre;CAMPINA DO MONTE ALEGRE;3509452
Campinas;CAMPINAS;3509502
Campo Limpo Paulista;CAMPO LIMPO PAULISTA;3509601
Campos do Jordão;CAMPOS DO JORDÃO;3509700
Campos Novos Paulista;CAMPOS NOVOS PAULISTA;3509809
Cananéia;CANANÉIA;3509908
Canas;CANAS;3509957
Cândido Mota;CÂNDIDO MOTA;3510005
Cândido Rodrigues;CÂNDIDO RODRIGUES;3510104
Canitar;CANITAR;3510153
Capão Bonito;CAPÃO BONITO;3510203
Capela do Alto;CAPELA DO ALTO;3510302
Capivari;CAPIVARI;3510401
Caraguatatuba;CARAGUATATUBA;3510500
Carapicuíba;CARAPICUÍBA;3510609
Cardoso;CARDOSO;3510708
Casa Branca;CASA BRANCA;3510807
Cássia dos Coqueiros;CÁSSIA DOS COQUEIROS;3510906
Castilho;CASTILHO;3511003
Catanduva;CATANDUVA;3511102
Catiguá;CATIGUÁ;3511201
Cedral;CEDRAL;3511300
Cerqueira César;CERQUEIRA CÉSAR;3511409
Cerquilho;CERQUILHO;3511508
Cesário Lange;CESÁRIO LANGE;3511607
Charqueada;CHARQUEADA;3511706
Chavantes;CHAVANTES;3557204
Clementina;CLEMENTINA;3511904
Colina;COLINA;3512001
Colômbia;COLÔMBIA;3512100
Conchal;CONCHAL;3512209
Conchas;CONCHAS;3512308
Cordeirópolis;CORDEIRÓPOLIS;3512407
Coroados;COROADOS;3512506
Coronel Macedo;CORONEL MACEDO;3512605
Corumbataí;CORUMBATAÍ;3512704
Cosmópolis;COSMÓPOLIS;3512803
Cosmorama;COSMORAMA;3512902
Cotia;COTIA;3513009
Cravinhos;CRAVINHOS;3513108
Cristais Paulista;CRISTAIS PAULISTA;3513207
Cruzália;CRUZÁLIA;3513306
Cruzeiro;CRUZEIRO;3513405
Cubatão;CUBATÃO;3513504
Cunha;CUNHA;3513603
Descalvado;DESCALVADO;3513702
Diadema;DIADEMA;3513801
Dirce Reis;DIRCE REIS;3513850
Divinolândia;DIVINOLÂNDIA;3513900
Dobrada;DOBRADA;3514007
Dois Córregos;DOIS CÓRREGOS;3514106
Dolcinópolis;DOLCINÓPOLIS;3514205
Dourado;DOURADO;3514304
Dracena;DRACENA;3514403
Duartina;DUARTINA;3514502
Dumont;DUMONT;3514601
Echaporã;ECHAPORÃ;3514700
Eldorado;ELDORADO;3514809
Elias Fausto;ELIAS FAUSTO;3514908
Elisiário;ELISIÁRIO;3514924
Embaúba;EMBAÚBA;3514957
Embu;EMBU;3515004
Embu das Artes;EMBU DAS ARTES;3515004
Embu-Guaçu;EMBU-GUAÇU;3515103
Emilianópolis;EMILIANÓPOLIS;3515129
Engenheiro Coelho;ENGENHEIRO COELHO;3515152
Espírito Santo do Pinhal;ESPÍRITO SANTO DO PINHAL;3515186
Espírito Santo do Turvo;ESPÍRITO SANTO DO TURVO;3515194
Estiva Gerbi;ESTIVA GERBI;3557303
Estrela do Norte;ESTRELA DO NORTE;3515301
Estrela d'Oeste;ESTRELA D'OESTE;3515202
Euclides da Cunha Paulista;EUCLIDES DA CUNHA PAULISTA;3515350
Fartura;FARTURA;3515400
Fernando Prestes;FERNANDO PRESTES;3515608
Fernandópolis;FERNANDÓPOLIS;3515509
Fernão;FERNÃO;3515657
Ferraz de Vasconcelos;FERRAZ DE VASCONCELOS;3515707
Flora Rica;FLORA RICA;3515806
Floreal;FLOREAL;3515905
Flórida Paulista;FLÓRIDA PAULISTA;3516002
Florínia;FLORÍNIA;3516101
Franca;FRANCA;3516200
Francisco Morato;FRANCISCO MORATO;3516309
Franco da Rocha;FRANCO DA ROCHA;3516408
Gabriel Monteiro;GABRIEL MONTEIRO;3516507
Gália;GÁLIA;3516606
Garça;GARÇA;3516705
Gastão Vidigal;GASTÃO VIDIGAL;3516804
Gavião Peixoto;GAVIÃO PEIXOTO;3516853
General Salgado;GENERAL SALGADO;3516903
Getulina;GETULINA;3517000
Glicério;GLICÉRIO;3517109
Guaiçara;GUAIÇARA;3517208
Guaimbê;GUAIMBÊ;3517307
Guaíra;GUAÍRA;3517406
Guapiaçu;GUAPIAÇU;3517505
Guapiara;GUAPIARA;3517604
Guará;GUARÁ;3517703
Guaraçaí;GUARAÇAÍ;3517802
Guaraci;GUARACI;3517901
Guarani D'Oeste;GUARANI D'OESTE;3518008
Guarantã;GUARANTÃ;3518107
Guararapes;GUARARAPES;3518206
Guararema;GUARAREMA;3518305
Guaratinguetá;GUARATINGUETÁ;3518404
Guareí;GUAREÍ;3518503
Guariba;GUARIBA;3518602
Guarujá;GUARUJÁ;3518701
Guarulhos;GUARULHOS;3518800
Guatapará;GUATAPARÁ;3518859
Guzolândia;GUZOLÂNDIA;3518909
Herculândia;HERCULÂNDIA;3519006
Holambra;HOLAMBRA;3519055
Hortolândia;HORTOLÂNDIA;3519071
Iacanga;IACANGA;3519105
Iacri;IACRI;3519204
Iaras;IARAS;3519253
Ibaté;IBATÉ;3519303
Ibirá;IBIRÁ;3519402
Ibirarema;IBIRAREMA;3519501
Ibitinga;IBITINGA;3519600
Ibiúna;IBIÚNA;3519709
Icém;ICÉM;3519808
Iepê;IEPÊ;3519907
Igaraçu do Tietê;IGARAÇU DO TIETÊ;3520004
Igarapava;IGARAPAVA;3520103
Igaratá;IGARATÁ;3520202
Iguape;IGUAPE;3520301
Ilha Comprida;ILHA COMPRIDA;3520426
Ilha Solteira;ILHA SOLTEIRA;3520442
Ilhabela;ILHABELA;3520400
Indaiatuba;INDAIATUBA;3520509
Indiana;INDIANA;3520608
Indiaporã;INDIAPORÃ;3520707
Inúbia Paulista;INÚBIA PAULISTA;3520806
Ipaussu;IPAUSSU;3520905
Iperó;IPERÓ;3521002
Ipeúna;IPEÚNA;3521101
Ipiguá;IPIGUÁ;3521150
Iporanga;IPORANGA;3521200
Ipuã;IPUÃ;3521309
Iracemápolis;IRACEMÁPOLIS;3521408
Irapuã;IRAPUÃ;3521507
Irapuru;IRAPURU;3521606
Itaberá;ITABERÁ;3521705
Itaí;ITAÍ;3521804
Itajobi;ITAJOBI;3521903
Itaju;ITAJU;3522000
Itanhaém;ITANHAÉM;3522109
Itaóca;ITAÓCA;3522158
Itapecerica da Serra;ITAPECERICA DA SERRA;3522208
Itapetininga;ITAPETININGA;3522307
Itapeva;ITAPEVA;3522406
Itapevi;ITAPEVI;3522505
Itapira;ITAPIRA;3522604
Itapirapuã Paulista;ITAPIRAPUÃ PAULISTA;3522653
Itápolis;ITÁPOLIS;3522703
Itaporanga;ITAPORANGA;3522802
Itapuí;ITAPUÍ;3522901
Itapura;ITAPURA;3523008
Itaquaquecetuba;ITAQUAQUECETUBA;3523107
Itararé;ITARARÉ;3523206
Itariri;ITARIRI;3523305
Itatiba;ITATIBA;3523404
Itatinga;ITATINGA;3523503
Itirapina;ITIRAPINA;3523602
Itirapuã;ITIRAPUÃ;3523701
Itobi;ITOBI;3523800
Itu;ITU;3523909
Itupeva;ITUPEVA;3524006
Ituverava;ITUVERAVA;3524105
Jaborandi;JABORANDI;3524204
Jaboticabal;JABOTICABAL;3524303
Jacareí;JACAREÍ;3524402
Jaci;JACI;3524501
Jacupiranga;JACUPIRANGA;3524600
Jaguariúna;JAGUARIÚNA;3524709
Jales;JALES;3524808
Jambeiro;JAMBEIRO;3524907
Jandira;JANDIRA;3525003
Jardinópolis;JARDINÓPOLIS;3525102
Jarinu;JARINU;3525201
Jaú;JAÚ;3525300
Jeriquara;JERIQUARA;3525409
Joanópolis;JOANÓPOLIS;3525508
João Ramalho;JOÃO RAMALHO;3525607
José Bonifácio;JOSÉ BONIFÁCIO;3525706
Júlio Mesquita;JÚLIO MESQUITA;3525805
Jumirim;JUMIRIM;3525854
Jundiaí;JUNDIAÍ;3525904
Junqueirópolis;JUNQUEIRÓPOLIS;3526001
Juquiá;JUQUIÁ;3526100
Juquitiba;JUQUITIBA;3526209
Lagoinha;LAGOINHA;3526308
Laranjal Paulista;LARANJAL PAULISTA;3526407
Lavínia;LAVÍNIA;3526506
Lavrinhas;LAVRINHAS;3526605
Leme;LEME;3526704
Lençóis Paulista;LENÇÓIS PAULISTA;3526803
Limeira;LIMEIRA;3526902
Lindóia;LINDÓIA;3527009
Lins;LINS;3527108
Lorena;LORENA;3527207
Lourdes;LOURDES;3527256
Louveira;LOUVEIRA;3527306
Lucélia;LUCÉLIA;3527405
Lucianópolis;LUCIANÓPOLIS;3527504
Luís Antônio;LUÍS ANTÔNIO;3527603
Luiziânia;LUIZIÂNIA;3527702
Lupércio;LUPÉRCIO;3527801
Lutécia;LUTÉCIA;3527900
Macatuba;MACATUBA;3528007
Macaubal;MACAUBAL;3528106
Macedônia;MACEDÔNIA;3528205
Magda;MAGDA;3528304
Mairinque;MAIRINQUE;3528403
Mairiporã;MAIRIPORÃ;3528502
Manduri;MANDURI;3528601
Marabá Paulista;MARABÁ PAULISTA;3528700
Maracaí;MARACAÍ;3528809
Marapoama;MARAPOAMA;3528858
Mariápolis;MARIÁPOLIS;3528908
Marília;MARÍLIA;3529005
Marinópolis;MARINÓPOLIS;3529104
Martinópolis;MARTINÓPOLIS;3529203
Matão;MATÃO;3529302
Mauá;MAUÁ;3529401
Mendonça;MENDONÇA;3529500
Meridiano;MERIDIANO;3529609
Mesópolis;MESÓPOLIS;3529658
Miguelópolis;MIGUELÓPOLIS;3529708
Mineiros do Tietê;MINEIROS DO TIETÊ;3529807
Mira Estrela;MIRA ESTRELA;3530003
Miracatu;MIRACATU;3529906
Mirandópolis;MIRANDÓPOLIS;3530102
Mirante do Paranapanema;MIRANTE DO PARANAPANEMA;3530201
Mirassol;MIRASSOL;3530300
Mirassolândia;MIRASSOLÂNDIA;3530409
Mococa;MOCOCA;3530508
Mogi das Cruzes;MOGI DAS CRUZES;3530607
Mogi Guaçu;MOGI GUAÇU;3530706
Mogi Mirim;MOGI MIRIM;3530805
Mombuca;MOMBUCA;3530904
Monções;MONÇÕES;3531001
Mongaguá;MONGAGUÁ;3531100
Monte Alegre do Sul;MONTE ALEGRE DO SUL;3531209
Monte Alto;MONTE ALTO;3531308
Monte Aprazível;MONTE APRAZÍVEL;3531407
Monte Azul Paulista;MONTE AZUL PAULISTA;3531506
Monte Castelo;MONTE CASTELO;3531605
Monte Mor;MONTE MOR;3531803
Monteiro Lobato;MONTEIRO LOBATO;3531704
Morro Agudo;MORRO AGUDO;3531902
Morungaba;MORUNGABA;3532009
Motuca;MOTUCA;3532058
Murutinga do Sul;MURUTINGA DO SUL;3532108
Nantes;NANTES;3532157
Narandiba;NARANDIBA;3532207
Natividade da Serra;NATIVIDADE DA SERRA;3532306
Nazaré Paulista;NAZARÉ PAULISTA;3532405
