CD_GEOCODM;NM_MUNICIP;NM_MICRO;NM_MESO
3518107;GUARANTÃ;BAURU;BAURU
3518206;GUARARAPES;ARAÇATUBA;ARAÇATUBA
3518305;GUARAREMA;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3518404;GUARATINGUETÁ;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3518503;GUAREÍ;ITAPETININGA;ITAPETININGA
3518602;GUARIBA;JABOTICABAL;RIBEIRÃO PRETO
3518701;GUARUJÁ;SANTOS;METROPOLITANA DE SÃO PAULO
3519600;IBITINGA;ARARAQUARA;ARARAQUARA
3519709;IBIÚNA;PIEDADE;MACRO METROPOLITANA PAULISTA
3522208;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO
3522307;ITAPETININGA;ITAPETININGA;ITAPETININGA
3522604;ITAPIRA;MOGI MIRIM;CAMPINAS
3523107;ITAQUAQUECETUBA;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3518859;GUATAPARÁ;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3518909;GUZOLÂNDIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3519006;HERCULÂNDIA;TUPÃ;MARÍLIA
3519055;HOLAMBRA;CAMPINAS;CAMPINAS
3519071;HORTOLÂNDIA;CAMPINAS;CAMPINAS
3519105;IACANGA;BAURU;BAURU
3519204;IACRI;TUPÃ;MARÍLIA
3519253;IARAS;AVARÉ;BAURU
3519303;IBATÉ;SÃO CARLOS;ARARAQUARA
3519402;IBIRÁ;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3519501;IBIRAREMA;ASSIS;ASSIS
3519808;ICÉM;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3519907;IEPÊ;ASSIS;ASSIS
3520004;IGARAÇU DO TIETÊ;JAÚ;BAURU
3520103;IGARAPAVA;ITUVERAVA;RIBEIRÃO PRETO
3520202;IGARATÁ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3520301;IGUAPE;REGISTRO;LITORAL SUL PAULISTA
3520400;ILHABELA;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA
3520426;ILHA COMPRIDA;REGISTRO;LITORAL SUL PAULISTA
3520442;ILHA SOLTEIRA;ANDRADINA;ARAÇATUBA
3520509;INDAIATUBA;CAMPINAS;CAMPINAS
3520608;INDIANA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3520707;INDIAPORÃ;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3520806;INÚBIA PAULISTA;ADAMANTINA;PRESIDENTE PRUDENTE
3520905;IPAUSSU;OURINHOS;ASSIS
3521002;IPERÓ;SOROCABA;MACRO METROPOLITANA PAULISTA
3521101;IPEÚNA;RIO CLARO;PIRACICABA
3521150;IPIGUÁ;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3521200;IPORANGA;CAPÃO BONITO;ITAPETININGA
3521309;IPUÃ;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3521408;IRACEMÁPOLIS;LIMEIRA;PIRACICABA
3521507;IRAPUÃ;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3521606;IRAPURU;ADAMANTINA;PRESIDENTE PRUDENTE
3521705;ITABERÁ;ITAPEVA;ITAPETININGA
3521804;ITAÍ;AVARÉ;BAURU
3521903;ITAJOBI;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3522000;ITAJU;JAÚ;BAURU
3522109;ITANHAÉM;ITANHAÉM;LITORAL SUL PAULISTA
3522158;ITAÓCA;CAPÃO BONITO;ITAPETININGA
3522406;ITAPEVA;ITAPEVA;ITAPETININGA
3522505;ITAPEVI;OSASCO;METROPOLITANA DE SÃO PAULO
3522653;ITAPIRAPUÃ PAULISTA;CAPÃO BONITO;ITAPETININGA
3522703;ITÁPOLIS;ARARAQUARA;ARARAQUARA
3522802;ITAPORANGA;ITAPEVA;ITAPETININGA
3522901;ITAPUÍ;JAÚ;BAURU
3523008;ITAPURA;ANDRADINA;ARAÇATUBA
3523206;ITARARÉ;ITAPEVA;ITAPETININGA
3523305;ITARIRI;ITANHAÉM;LITORAL SUL PAULISTA
3523404;ITATIBA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3523602;ITIRAPINA;RIO CLARO;PIRACICABA
3523701;ITIRAPUÃ;FRANCA;RIBEIRÃO PRETO
3523800;ITOBI;SÃO JOÃO DA BOA VISTA;CAMPINAS
3524402;JACAREÍ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3525003;JANDIRA;OSASCO;METROPOLITANA DE SÃO PAULO
3523503;ITATINGA;AVARÉ;BAURU
3523909;ITU;SOROCABA;MACRO METROPOLITANA PAULISTA
3524006;ITUPEVA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA
3524105;ITUVERAVA;ITUVERAVA;RIBEIRÃO PRETO
3524204;JABORANDI;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3524303;JABOTICABAL;JABOTICABAL;RIBEIRÃO PRETO
3524501;JACI;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3524600;JACUPIRANGA;REGISTRO;LITORAL SUL PAULISTA
3524709;JAGUARIÚNA;CAMPINAS;CAMPINAS
3524808;JALES;JALES;SÃO JOSÉ DO RIO PRETO
3524907;JAMBEIRO;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3525102;JARDINÓPOLIS;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3525201;JARINU;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3525300;JAÚ;JAÚ;BAURU
3525409;JERIQUARA;FRANCA;RIBEIRÃO PRETO
3525508;JOANÓPOLIS;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3525607;JOÃO RAMALHO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3525706;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3525805;JÚLIO MESQUITA;LINS;BAURU
3525854;JUMIRIM;PIRACICABA;PIRACICABA
3525904;JUNDIAÍ;JUNDIAÍ;MACRO METROPOLITANA PAULISTA
3526902;LIMEIRA;LIMEIRA;PIRACICABA
3529104;MARINÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO
3529203;MARTINÓPOLIS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3529401;MAUÁ;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3530300;MIRASSOL;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3530607;MOGI DAS CRUZES;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3526001;JUNQUEIRÓPOLIS;DRACENA;PRESIDENTE PRUDENTE
3526100;JUQUIÁ;REGISTRO;LITORAL SUL PAULISTA
3526209;JUQUITIBA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO
3526308;LAGOINHA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3526407;LARANJAL PAULISTA;TATUÍ;ITAPETININGA
3526506;LAVÍNIA;ARAÇATUBA;ARAÇATUBA
3526605;LAVRINHAS;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3526704;LEME;LIMEIRA;PIRACICABA
3526803;LENÇÓIS PAULISTA;BAURU;BAURU
3527009;LINDÓIA;AMPARO;CAMPINAS
3527108;LINS;LINS;BAURU
3527207;LORENA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3527256;LOURDES;BIRIGUI;ARAÇATUBA
3527306;LOUVEIRA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA
3527405;LUCÉLIA;ADAMANTINA;PRESIDENTE PRUDENTE
3527504;LUCIANÓPOLIS;BAURU;BAURU
3527603;LUÍS ANTÔNIO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3527702;LUIZIÂNIA;BIRIGUI;ARAÇATUBA
3527801;LUPÉRCIO;MARÍLIA;MARÍLIA
3527900;LUTÉCIA;ASSIS;ASSIS
3528007;MACATUBA;JAÚ;BAURU
3528106;MACAUBAL;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3528205;MACEDÔNIA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3528304;MAGDA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3528403;MAIRINQUE;SOROCABA;MACRO METROPOLITANA PAULISTA
3528502;MAIRIPORÃ;FRANCO DA ROCHA;METROPOLITANA DE SÃO PAULO
3528601;MANDURI;OURINHOS;ASSIS
3528700;MARABÁ PAULISTA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3528809;MARACAÍ;ASSIS;ASSIS
3528858;MARAPOAMA;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3528908;MARIÁPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE
3529005;MARÍLIA;MARÍLIA;MARÍLIA
3529302;MATÃO;ARARAQUARA;ARARAQUARA
3529500;MENDONÇA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3529609;MERIDIANO;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3529658;MESÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO
3529708;MIGUELÓPOLIS;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3529807;MINEIROS DO TIETÊ;JAÚ;BAURU
3529906;MIRACATU;REGISTRO;LITORAL SUL PAULISTA
3530003;MIRA ESTRELA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3530102;MIRANDÓPOLIS;ANDRADINA;ARAÇATUBA
3530201;MIRANTE DO PARANAPANEMA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3530409;MIRASSOLÂNDIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3530508;MOCOCA;SÃO JOÃO DA BOA VISTA;CAMPINAS
3530706;MOGI GUAÇU;MOGI MIRIM;CAMPINAS
3530805;MOGI MIRIM;MOGI MIRIM;CAMPINAS
3531308;MONTE ALTO;JABOTICABAL;RIBEIRÃO PRETO
3531803;MONTE MOR;CAMPINAS;CAMPINAS
3534401;OSASCO;OSASCO;METROPOLITANA DE SÃO PAULO
3530904;MOMBUCA;PIRACICABA;PIRACICABA
3531001;MONÇÕES;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3531100;MONGAGUÁ;ITANHAÉM;LITORAL SUL PAULISTA
3531209;MONTE ALEGRE DO SUL;AMPARO;CAMPINAS
3531407;MONTE APRAZÍVEL;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3531506;MONTE AZUL PAULISTA;JABOTICABAL;RIBEIRÃO PRETO
3531605;MONTE CASTELO;DRACENA;PRESIDENTE PRUDENTE
3531704;MONTEIRO LOBATO;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA
3531902;MORRO AGUDO;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3532009;MORUNGABA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3532058;MOTUCA;ARARAQUARA;ARARAQUARA
3532108;MURUTINGA DO SUL;ANDRADINA;ARAÇATUBA
3532157;NANTES;ASSIS;ASSIS
3532207;NARANDIBA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3532306;NATIVIDADE DA SERRA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3532405;NAZARÉ PAULISTA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3532504;NEVES PAULISTA;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3532603;NHANDEARA;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3532702;NIPOÃ;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3532801;NOVA ALIANÇA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3532827;NOVA CAMPINA;ITAPEVA;ITAPETININGA
3532843;NOVA CANAÃ PAULISTA;JALES;SÃO JOSÉ DO RIO PRETO
3532868;NOVA CASTILHO;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3532900;NOVA EUROPA;ARARAQUARA;ARARAQUARA
3533007;NOVA GRANADA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3533106;NOVA GUATAPORANGA;DRACENA;PRESIDENTE PRUDENTE
3533205;NOVA INDEPENDÊNCIA;ANDRADINA;ARAÇATUBA
3533254;NOVAIS;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3533304;NOVA LUZITÂNIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3533403;NOVA ODESSA;CAMPINAS;CAMPINAS
3533502;NOVO HORIZONTE;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3533601;NUPORANGA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3533700;OCAUÇU;MARÍLIA;MARÍLIA
3533809;ÓLEO;OURINHOS;ASSIS
3533908;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3534005;ONDA VERDE;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3534104;ORIENTE;MARÍLIA;MARÍLIA
3534203;ORINDIÚVA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3534302;ORLÂNDIA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3535002;PALESTINA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3535507;PARAGUAÇU PAULISTA;ASSIS;ASSIS
3535705;PARAÍSO;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3535804;PARANAPANEMA;AVARÉ;BAURU
3536000;PARAPUÃ;ADAMANTINA;PRESIDENTE PRUDENTE
3537602;PERUÍBE;ITANHAÉM;LITORAL SUL PAULISTA
3538105;PINDORAMA;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3534500;OSCAR BRESSANE;MARÍLIA;MARÍLIA
3534609;OSVALDO CRUZ;ADAMANTINA;PRESIDENTE PRUDENTE
3534708;OURINHOS;OURINHOS;ASSIS
3534757;OUROESTE;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3534807;OURO VERDE;DRACENA;PRESIDENTE PRUDENTE
3534906;PACAEMBU;ADAMANTINA;PRESIDENTE PRUDENTE
3535101;PALMARES PAULISTA;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3535200;PALMEIRA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO
3535309;PALMITAL;ASSIS;ASSIS
3535408;PANORAMA;DRACENA;PRESIDENTE PRUDENTE
3535606;PARAIBUNA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3535903;PARANAPUÃ;JALES;SÃO JOSÉ DO RIO PRETO
3536109;PARDINHO;BOTUCATU;BAURU
3536208;PARIQUERA-AÇU;REGISTRO;LITORAL SUL PAULISTA
3536257;PARISI;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3536307;PATROCÍNIO PAULISTA;FRANCA;RIBEIRÃO PRETO
3536406;PAULICÉIA;DRACENA;PRESIDENTE PRUDENTE
3536505;PAULÍNIA;CAMPINAS;CAMPINAS
3536570;PAULISTÂNIA;BAURU;BAURU
3536604;PAULO DE FARIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3536703;PEDERNEIRAS;JAÚ;BAURU
3536802;PEDRA BELA;AMPARO;CAMPINAS
3536901;PEDRANÓPOLIS;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3537008;PEDREGULHO;FRANCA;RIBEIRÃO PRETO
3537107;PEDREIRA;CAMPINAS;CAMPINAS
3537156;PEDRINHAS PAULISTA;ASSIS;ASSIS
3537206;PEDRO DE TOLEDO;ITANHAÉM;LITORAL SUL PAULISTA
3537305;PENÁPOLIS;BIRIGUI;ARAÇATUBA
3537404;PEREIRA BARRETO;ANDRADINA;ARAÇATUBA
3537503;PEREIRAS;TATUÍ;ITAPETININGA
3537701;PIACATU;BIRIGUI;ARAÇATUBA
3537800;PIEDADE;PIEDADE;MACRO METROPOLITANA PAULISTA
3537909;PILAR DO SUL;PIEDADE;MACRO METROPOLITANA PAULISTA
3538006;PINDAMONHANGABA;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3538204;PINHALZINHO;AMPARO;CAMPINAS
3538303;PIQUEROBI;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3538501;PIQUETE;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3538600;PIRACAIA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3538709;PIRACICABA;PIRACICABA;PIRACICABA
3541406;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3542305;REDENÇÃO DA SERRA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3542404;REGENTE FEIJÓ;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3543402;RIBEIRÃO PRETO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3543907;RIO CLARO;RIO CLARO;PIRACICABA
3538808;PIRAJU;OURINHOS;ASSIS
3538907;PIRAJUÍ;BAURU;BAURU
3539004;PIRANGI;JABOTICABAL;RIBEIRÃO PRETO
3539103;PIRAPORA DO BOM JESUS;OSASCO;METROPOLITANA DE SÃO PAULO
3539202;PIRAPOZINHO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3539301;PIRASSUNUNGA;PIRAÇUNUNGA;CAMPINAS
3539400;PIRATININGA;BAURU;BAURU
3539509;PITANGUEIRAS;JABOTICABAL;RIBEIRÃO PRETO
3539608;PLANALTO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3539707;PLATINA;ASSIS;ASSIS
3539806;POÁ;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3539905;POLONI;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3540002;POMPÉIA;MARÍLIA;MARÍLIA
3540101;PONGAÍ;BAURU;BAURU
3540200;PONTAL;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3540259;PONTALINDA;JALES;SÃO JOSÉ DO RIO PRETO
3540309;PONTES GESTAL;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3540408;POPULINA;JALES;SÃO JOSÉ DO RIO PRETO
3540507;PORANGABA;TATUÍ;ITAPETININGA
3540606;PORTO FELIZ;SOROCABA;MACRO METROPOLITANA PAULISTA
3540705;PORTO FERREIRA;PIRAÇUNUNGA;CAMPINAS
3540754;POTIM;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3540804;POTIRENDABA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3540853;PRACINHA;ADAMANTINA;PRESIDENTE PRUDENTE
3540903;PRADÓPOLIS;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3541059;PRATÂNIA;BOTUCATU;BAURU
3541109;PRESIDENTE ALVES;BAURU;BAURU
3541208;PRESIDENTE BERNARDES;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3541307;PRESIDENTE EPITÁCIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3541505;PRESIDENTE VENCESLAU;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3541604;PROMISSÃO;LINS;BAURU
3541653;QUADRA;TATUÍ;ITAPETININGA
3541703;QUATÁ;ASSIS;ASSIS
3541802;QUEIROZ;TUPÃ;MARÍLIA
3541901;QUELUZ;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3542008;QUINTANA;TUPÃ;MARÍLIA
3542107;RAFARD;PIRACICABA;PIRACICABA
3542206;RANCHARIA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3542503;REGINÓPOLIS;BAURU;BAURU
3542602;REGISTRO;REGISTRO;LITORAL SUL PAULISTA
3542701;RESTINGA;FRANCA;RIBEIRÃO PRETO
3542800;RIBEIRA;CAPÃO BONITO;ITAPETININGA
3542909;RIBEIRÃO BONITO;SÃO CARLOS;ARARAQUARA
3543006;RIBEIRÃO BRANCO;CAPÃO BONITO;ITAPETININGA
3543105;RIBEIRÃO CORRENTE;FRANCA;RIBEIRÃO PRETO
3543204;RIBEIRÃO DO SUL;OURINHOS;ASSIS
3543238;RIBEIRÃO DOS ÍNDIOS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3543253;RIBEIRÃO GRANDE;CAPÃO BONITO;ITAPETININGA
3543303;RIBEIRÃO PIRES;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3543501;RIVERSUL;ITAPEVA;ITAPETININGA
3543600;RIFAINA;FRANCA;RIBEIRÃO PRETO
3543709;RINCÃO;ARARAQUARA;ARARAQUARA
3543808;RINÓPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE
3544004;RIO DAS PEDRAS;PIRACICABA;PIRACICABA
3544103;RIO GRANDE DA SERRA;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3544202;RIOLÂNDIA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3544251;ROSANA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
