Município;NM_MUNICIP;NM_MICRO;NM_MESO;CD_GEOCODM
Cardoso;CARDOSO;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3510708
Casa Branca;CASA BRANCA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3510807
Cássia dos Coqueiros;CÁSSIA DOS COQUEIROS;BATATAIS;RIBEIRÃO PRETO;3510906
Castilho;CASTILHO;ANDRADINA;ARAÇATUBA;3511003
Catanduva;CATANDUVA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3511102
Catiguá;CATIGUÁ;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3511201
Cedral;CEDRAL;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3511300
Cerqueira César;CERQUEIRA CÉSAR;AVARÉ;BAURU;3511409
Cerquilho;CERQUILHO;TATUÍ;ITAPETININGA;3511508
Cesário Lange;CESÁRIO LANGE;TATUÍ;ITAPETININGA;3511607
Charqueada;CHARQUEADA;PIRACICABA;PIRACICABA;3511706
Chavantes;CHAVANTES;OURINHOS;ASSIS;3557204
Clementina;CLEMENTINA;BIRIGUI;ARAÇATUBA;3511904
Colina;COLINA;BARRETOS;RIBEIRÃO PRETO;3512001
Colômbia;COLÔMBIA;BARRETOS;RIBEIRÃO PRETO;3512100
Conchal;CONCHAL;LIMEIRA;PIRACICABA;3512209
Conchas;CONCHAS;BOTUCATU;BAURU;3512308
Cordeirópolis;CORDEIRÓPOLIS;LIMEIRA;PIRACICABA;3512407
Coroados;COROADOS;BIRIGUI;ARAÇATUBA;3512506
Coronel Macedo;CORONEL MACEDO;ITAPEVA;ITAPETININGA;3512605
Corumbataí;CORUMBATAÍ;RIO CLARO;PIRACICABA;3512704
Cosmópolis;COSMÓPOLIS;CAMPINAS;CAMPINAS;3512803
Cosmorama;COSMORAMA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3512902
Cotia;COTIA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3513009
Cravinhos;CRAVINHOS;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3513108
Cristais Paulista;CRISTAIS PAULISTA;FRANCA;RIBEIRÃO PRETO;3513207
Cruzália;CRUZÁLIA;ASSIS;ASSIS;3513306
Cruzeiro;CRUZEIRO;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3513405
Cubatão;CUBATÃO;SANTOS;METROPOLITANA DE SÃO PAULO;3513504
Cunha;CUNHA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3513603
Descalvado;DESCALVADO;SÃO CARLOS;ARARAQUARA;3513702
Diadema;DIADEMA;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3513801
Dirce Reis;DIRCE REIS;JALES;SÃO JOSÉ DO RIO PRETO;3513850
Divinolândia;DIVINOLÂNDIA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3513900
Dobrada;DOBRADA;ARARAQUARA;ARARAQUARA;3514007
Dois Córregos;DOIS CÓRREGOS;JAÚ;BAURU;3514106
Dolcinópolis;DOLCINÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO;3514205
Dourado;DOURADO;SÃO CARLOS;ARARAQUARA;3514304
Dracena;DRACENA;DRACENA;PRESIDENTE PRUDENTE;3514403
Duartina;DUARTINA;BAURU;BAURU;3514502
Dumont;DUMONT;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3514601
Echaporã;ECHAPORÃ;MARÍLIA;MARÍLIA;3514700
Eldorado;ELDORADO;REGISTRO;LITORAL SUL PAULISTA;3514809
Elias Fausto;ELIAS FAUSTO;CAMPINAS;CAMPINAS;3514908
Elisiário;ELISIÁRIO;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3514924
Embaúba;EMBAÚBA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3514957
Embu;EMBU;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3515004
Embu das Artes;EMBU DAS ARTES;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3515004
Embu-Guaçu;EMBU-GUAÇU;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3515103
Emilianópolis;EMILIANÓPOLIS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3515129
Engenheiro Coelho;ENGENHEIRO COELHO;MOGI MIRIM;CAMPINAS;3515152
Espírito Santo do Pinhal;ESPÍRITO SANTO DO PINHAL;SÃO JOÃO DA BOA VISTA;CAMPINAS;3515186
Espírito Santo do Turvo;ESPÍRITO SANTO DO TURVO;OURINHOS;ASSIS;3515194
Estiva Gerbi;ESTIVA GERBI;MOGI MIRIM;CAMPINAS;3557303
Estrela do Norte;ESTRELA DO NORTE;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3515301
Estrela d'Oeste;ESTRELA D'OESTE;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3515202
Euclides da Cunha Paulista;EUCLIDES DA CUNHA PAULISTA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3515350
Fartura;FARTURA;OURINHOS;ASSIS;3515400
Fernando Prestes;FERNANDO PRESTES;JABOTICABAL;RIBEIRÃO PRETO;3515608
Fernandópolis;FERNANDÓPOLIS;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3515509
Fernão;FERNÃO;MARÍLIA;MARÍLIA;3515657
Ferraz de Vasconcelos;FERRAZ DE VASCONCELOS;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3515707
Flora Rica;FLORA RICA;ADAMANTINA;PRESIDENTE PRUDENTE;3515806
Floreal;FLOREAL;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3515905
Flórida Paulista;FLÓRIDA PAULISTA;ADAMANTINA;PRESIDENTE PRUDENTE;3516002
Florínia;FLORÍNIA;ASSIS;ASSIS;3516101
Franca;FRANCA;FRANCA;RIBEIRÃO PRETO;3516200
Francisco Morato;FRANCISCO MORATO;FRANCO DA ROCHA;METROPOLITANA DE SÃO PAULO;3516309
Franco da Rocha;FRANCO DA ROCHA;FRANCO DA ROCHA;METROPOLITANA DE SÃO PAULO;3516408
Gabriel Monteiro;GABRIEL MONTEIRO;BIRIGUI;ARAÇATUBA;3516507
Gália;GÁLIA;MARÍLIA;MARÍLIA;3516606
Garça;GARÇA;MARÍLIA;MARÍLIA;3516705
Gastão Vidigal;GASTÃO VIDIGAL;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3516804
Gavião Peixoto;GAVIÃO PEIXOTO;ARARAQUARA;ARARAQUARA;3516853
General Salgado;GENERAL SALGADO;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3516903
Getulina;GETULINA;LINS;BAURU;3517000
Glicério;GLICÉRIO;BIRIGUI;ARAÇATUBA;3517109
Guaiçara;GUAIÇARA;LINS;BAURU;3517208
Guaimbê;GUAIMBÊ;LINS;BAURU;3517307
Guaíra;GUAÍRA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3517406
Guapiaçu;GUAPIAÇU;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3517505
Guapiara;GUAPIARA;CAPÃO BONITO;ITAPETININGA;3517604
Guará;GUARÁ;ITUVERAVA;RIBEIRÃO PRETO;3517703
Guaraçaí;GUARAÇAÍ;ANDRADINA;ARAÇATUBA;3517802
Guaraci;GUARACI;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3517901
Guarani D'Oeste;GUARANI D'OESTE;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3518008
Guarantã;GUARANTÃ;BAURU;BAURU;3518107
Guararapes;GUARARAPES;ARAÇATUBA;ARAÇATUBA;3518206
Guararema;GUARAREMA;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3518305
Guaratinguetá;GUARATINGUETÁ;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3518404
Guareí;GUAREÍ;ITAPETININGA;ITAPETININGA;3518503
Guariba;GUARIBA;JABOTICABAL;RIBEIRÃO PRETO;3518602
Guarujá;GUARUJÁ;SANTOS;METROPOLITANA DE SÃO PAULO;3518701
Guarulhos;GUARULHOS;GUARULHOS;METROPOLITANA DE SÃO PAULO;3518800
Guatapará;GUATAPARÁ;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3518859
Guzolândia;GUZOLÂNDIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3518909
Herculândia;HERCULÂNDIA;TUPÃ;MARÍLIA;3519006
Holambra;HOLAMBRA;CAMPINAS;CAMPINAS;3519055
Hortolândia;HORTOLÂNDIA;CAMPINAS;CAMPINAS;3519071
Iacanga;IACANGA;BAURU;BAURU;3519105
Iacri;IACRI;TUPÃ;MARÍLIA;3519204
Iaras;IARAS;AVARÉ;BAURU;3519253
Ibaté;IBATÉ;SÃO CARLOS;ARARAQUARA;3519303
Ibirá;IBIRÁ;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3519402
Ibirarema;IBIRAREMA;ASSIS;ASSIS;3519501
Ibitinga;IBITINGA;ARARAQUARA;ARARAQUARA;3519600
Ibiúna;IBIÚNA;PIEDADE;MACRO METROPOLITANA PAULISTA;3519709
Icém;ICÉM;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3519808
Iepê;IEPÊ;ASSIS;ASSIS;3519907
Igaraçu do Tietê;IGARAÇU DO TIETÊ;JAÚ;BAURU;3520004
Igarapava;IGARAPAVA;ITUVERAVA;RIBEIRÃO PRETO;3520103
Igaratá;IGARATÁ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3520202
Iguape;IGUAPE;REGISTRO;LITORAL SUL PAULISTA;3520301
Ilha Comprida;ILHA COMPRIDA;REGISTRO;LITORAL SUL PAULISTA;3520426
Ilha Solteira;ILHA SOLTEIRA;ANDRADINA;ARAÇATUBA;3520442
Ilhabela;ILHABELA;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA;3520400
Indaiatuba;INDAIATUBA;CAMPINAS;CAMPINAS;3520509
Indiana;INDIANA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3520608
Indiaporã;INDIAPORÃ;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3520707
Inúbia Paulista;INÚBIA PAULISTA;ADAMANTINA;PRESIDENTE PRUDENTE;3520806
Ipaussu;IPAUSSU;OURINHOS;ASSIS;3520905
Iperó;IPERÓ;SOROCABA;MACRO METROPOLITANA PAULISTA;3521002
Ipeúna;IPEÚNA;RIO CLARO;PIRACICABA;3521101
Ipiguá;IPIGUÁ;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3521150
Iporanga;IPORANGA;CAPÃO BONITO;ITAPETININGA;3521200
Ipuã;IPUÃ;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3521309
Iracemápolis;IRACEMÁPOLIS;LIMEIRA;PIRACICABA;3521408
Irapuã;IRAPUÃ;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3521507
Irapuru;IRAPURU;ADAMANTINA;PRESIDENTE PRUDENTE;3521606
Itaberá;ITABERÁ;ITAPEVA;ITAPETININGA;3521705
Itaí;ITAÍ;AVARÉ;BAURU;3521804
Itajobi;ITAJOBI;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3521903
Itaju;ITAJU;JAÚ;BAURU;3522000
Itanhaém;ITANHAÉM;ITANHAÉM;LITORAL SUL PAULISTA;3522109
Itaóca;ITAÓCA;CAPÃO BONITO;ITAPETININGA;3522158
Itapecerica da Serra;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3522208
Itapetininga;ITAPETININGA;ITAPETININGA;ITAPETININGA;3522307
Itapeva;ITAPEVA;ITAPEVA;ITAPETININGA;3522406
Itapevi;ITAPEVI;OSASCO;METROPOLITANA DE SÃO PAULO;3522505
Itapira;ITAPIRA;MOGI MIRIM;CAMPINAS;3522604
Itapirapuã Paulista;ITAPIRAPUÃ PAULISTA;CAPÃO BONITO;ITAPETININGA;3522653
Itápolis;ITÁPOLIS;ARARAQUARA;ARARAQUARA;3522703
Itaporanga;ITAPORANGA;ITAPEVA;ITAPETININGA;3522802
Itapuí;ITAPUÍ;JAÚ;BAURU;3522901
Itapura;ITAPURA;ANDRADINA;ARAÇATUBA;3523008
Itaquaquecetuba;ITAQUAQUECETUBA;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3523107
Itararé;ITARARÉ;ITAPEVA;ITAPETININGA;3523206
Itariri;ITARIRI;ITANHAÉM;LITORAL SUL PAULISTA;3523305
Itatiba;ITATIBA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3523404
Itatinga;ITATINGA;AVARÉ;BAURU;3523503
Itirapina;ITIRAPINA;RIO CLARO;PIRACICABA;3523602
Itirapuã;ITIRAPUÃ;FRANCA;RIBEIRÃO PRETO;3523701
Itobi;ITOBI;SÃO JOÃO DA BOA VISTA;CAMPINAS;3523800
Itu;ITU;SOROCABA;MACRO METROPOLITANA PAULISTA;3523909
Itupeva;ITUPEVA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA;3524006
Ituverava;ITUVERAVA;ITUVERAVA;RIBEIRÃO PRETO;3524105
Jaborandi;JABORANDI;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3524204
Jaboticabal;JABOTICABAL;JABOTICABAL;RIBEIRÃO PRETO;3524303
Jacareí;JACAREÍ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3524402
Jaci;JACI;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3524501
Jacupiranga;JACUPIRANGA;REGISTRO;LITORAL SUL PAULISTA;3524600
Jaguariúna;JAGUARIÚNA;CAMPINAS;CAMPINAS;3524709
Jales;JALES;JALES;SÃO JOSÉ DO RIO PRETO;3524808
Jambeiro;JAMBEIRO;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3524907
Jandira;JANDIRA;OSASCO;METROPOLITANA DE SÃO PAULO;3525003
Jardinópolis;JARDINÓPOLIS;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3525102
Jarinu;JARINU;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3525201
Jaú;JAÚ;JAÚ;BAURU;3525300
Jeriquara;JERIQUARA;FRANCA;RIBEIRÃO PRETO;3525409
Joanópolis;JOANÓPOLIS;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3525508
João Ramalho;JOÃO RAMALHO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3525607
José Bonifácio;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3525706
Júlio Mesquita;JÚLIO MESQUITA;LINS;BAURU;3525805
Jumirim;JUMIRIM;PIRACICABA;PIRACICABA;3525854
Jundiaí;JUNDIAÍ;JUNDIAÍ;MACRO METROPOLITANA PAULISTA;3525904
Junqueirópolis;JUNQUEIRÓPOLIS;DRACENA;PRESIDENTE PRUDENTE;3526001
Juquiá;JUQUIÁ;REGISTRO;LITORAL SUL PAULISTA;3526100
Juquitiba;JUQUITIBA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3526209
Lagoinha;LAGOINHA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3526308
Laranjal Paulista;LARANJAL PAULISTA;TATUÍ;ITAPETININGA;3526407
Lavínia;LAVÍNIA;ARAÇATUBA;ARAÇATUBA;3526506
Lavrinhas;LAVRINHAS;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3526605
Leme;LEME;LIMEIRA;PIRACICABA;3526704
Lençóis Paulista;LENÇÓIS PAULISTA;BAURU;BAURU;3526803
Limeira;LIMEIRA;LIMEIRA;PIRACICABA;3526902
Lindóia;LINDÓIA;AMPARO;CAMPINAS;3527009
Lins;LINS;LINS;BAURU;3527108
Lorena;LORENA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3527207
Lourdes;LOURDES;BIRIGUI;ARAÇATUBA;3527256
Louveira;LOUVEIRA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA;3527306
Lucélia;LUCÉLIA;ADAMANTINA;PRESIDENTE PRUDENTE;3527405
Lucianópolis;LUCIANÓPOLIS;BAURU;BAURU;3527504
Luís Antônio;LUÍS ANTÔNIO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3527603
Luiziânia;LUIZIÂNIA;BIRIGUI;ARAÇATUBA;3527702
Lupércio;LUPÉRCIO;MARÍLIA;MARÍLIA;3527801
Lutécia;LUTÉCIA;ASSIS;ASSIS;3527900
Macatuba;MACATUBA;JAÚ;BAURU;3528007
Macaubal;MACAUBAL;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3528106
Macedônia;MACEDÔNIA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3528205
Magda;MAGDA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3528304
Mairinque;MAIRINQUE;SOROCABA;MACRO METROPOLITANA PAULISTA;3528403
Mairiporã;MAIRIPORÃ;FRANCO DA ROCHA;METROPOLITANA DE SÃO PAULO;3528502
Manduri;MANDURI;OURINHOS;ASSIS;3528601
Marabá Paulista;MARABÁ PAULISTA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3528700
Maracaí;MARACAÍ;ASSIS;ASSIS;3528809
Marapoama;MARAPOAMA;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3528858
Mariápolis;MARIÁPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE;3528908
Marília;MARÍLIA;MARÍLIA;MARÍLIA;3529005
Marinópolis;MARINÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO;3529104
Martinópolis;MARTINÓPOLIS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3529203
Matão;MATÃO;ARARAQUARA;ARARAQUARA;3529302
Mauá;MAUÁ;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3529401
Mendonça;MENDONÇA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3529500
Meridiano;MERIDIANO;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3529609
Mesópolis;MESÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO;3529658
Miguelópolis;MIGUELÓPOLIS;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3529708
Mineiros do Tietê;MINEIROS DO TIETÊ;JAÚ;BAURU;3529807
Mira Estrela;MIRA ESTRELA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3530003
Miracatu;MIRACATU;REGISTRO;LITORAL SUL PAULISTA;3529906
Mirandópolis;MIRANDÓPOLIS;ANDRADINA;ARAÇATUBA;3530102
Mirante do Paranapanema;MIRANTE DO PARANAPANEMA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3530201
Mirassol;MIRASSOL;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3530300
Mirassolândia;MIRASSOLÂNDIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3530409
Mococa;MOCOCA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3530508
Mogi das Cruzes;MOGI DAS CRUZES;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3530607
Mogi Guaçu;MOGI GUAÇU;MOGI MIRIM;CAMPINAS;3530706
Mogi Mirim;MOGI MIRIM;MOGI MIRIM;CAMPINAS;3530805
Mombuca;MOMBUCA;PIRACICABA;PIRACICABA;3530904
Monções;MONÇÕES;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3531001
Mongaguá;MONGAGUÁ;ITANHAÉM;LITORAL SUL PAULISTA;3531100
Monte Alegre do Sul;MONTE ALEGRE DO SUL;AMPARO;CAMPINAS;3531209
Monte Alto;MONTE ALTO;JABOTICABAL;RIBEIRÃO PRETO;3531308
Monte Aprazível;MONTE APRAZÍVEL;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3531407
Monte Azul Paulista;MONTE AZUL PAULISTA;JABOTICABAL;RIBEIRÃO PRETO;3531506
Monte Castelo;MONTE CASTELO;DRACENA;PRESIDENTE PRUDENTE;3531605
